rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
1,Tu Poeta,Alex Campos,alex_campos,tu_poeta,1120,8.47,6,"R,T",https://acordes.lacuerda.net/alex_campos/tu_poeta
2,Amamos tu presencia,Miel San Marcos,miel_san_marcos,amamos_tu_presencia,893,7.88,2,R,https://acordes.lacuerda.net/miel_san_marcos/amamos_tu_presencia
3,Dios Háblame,Barak,barak,dios_hablame,656,8.34,4,R,https://acordes.lacuerda.net/barak/dios_hablame
4,Dios Incomparable,Generacion 12,generacion_12,dios_incomparable,571,8.93,5,"R,T",https://acordes.lacuerda.net/generacion_12/dios_incomparable
5,Al estar aquí,Danilo Montero,danilo_montero,al_estar_aqui,476,8.36,7,"R,T",https://acordes.lacuerda.net/danilo_montero/al_estar_aqui
6,La unica razón,Danilo Montero,danilo_montero,la_unica_razon,447,8.52,3,"R,T",https://acordes.lacuerda.net/danilo_montero/la_unica_razon
7,La tierra canta,Barak,barak,la_tierra_canta,434,8.09,2,"T,R",https://acordes.lacuerda.net/barak/la_tierra_canta
8,Bondad de Dios,Bethel Music,bethel_music,bondad_de_dios,432,7.74,3,R,https://acordes.lacuerda.net/bethel_music/bondad_de_dios
9,Al Taller Del Maestro,Alex Campos,alex_campos,al_taller_del_maestro,425,8.98,7,"R,B,T",https://acordes.lacuerda.net/alex_campos/al_taller_del_maestro
10,El sonido del silencio,Alex Campos,alex_campos,el_sonido_del_silencio,414,8.76,3,"R,T",https://acordes.lacuerda.net/alex_campos/el_sonido_del_silencio
11,La casa de Dios,Danilo Montero,danilo_montero,la_casa_de_dios,403,8.54,5,"R,T,B",https://acordes.lacuerda.net/danilo_montero/la_casa_de_dios
12,Me robaste el corazón,Alex Campos,alex_campos,me_robaste_el_corazon,388,9.18,6,"R,T,B",https://acordes.lacuerda.net/alex_campos/me_robaste_el_corazon
13,Dios esta aquí,Música Religiosa,musica_religiosa,dios_esta_aqui,380,7.84,1,R,https://acordes.lacuerda.net/musica_religiosa/dios_esta_aqui
14,Tu eres rey,Barak,barak,tu_eres_rey,366,7.82,4,R,https://acordes.lacuerda.net/barak/tu_eres_rey
15,Aunque mis ojos,Jesus Adrian Romero,jesus_adrian_romero,aunque_mis_ojos,364,8.15,2,R,https://acordes.lacuerda.net/jesus_adrian_romero/aunque_mis_ojos
16,Vasijas Rotas,Hillsong United,hillsong_united,vasijas_rotas,361,8.34,1,R,https://acordes.lacuerda.net/hillsong_united/vasijas_rotas
17,Amor sin condición,Bethel Music,bethel_music,amor_sin_condicion,347,8.47,3,R,https://acordes.lacuerda.net/bethel_music/amor_sin_condicion
18,Preciosa Sangre,Marco Barrientos,marco_barrientos,preciosa_sangre,344,7.99,1,R,https://acordes.lacuerda.net/marco_barrientos/preciosa_sangre
19,Bueno es alabar,Danilo Montero,danilo_montero,bueno_es_alabar,331,9.32,7,"R,H,T,K,B",https://acordes.lacuerda.net/danilo_montero/bueno_es_alabar
20,Algo está cayendo aquí,Jesus Adrian Romero,jesus_adrian_romero,algo_esta_cayendo_aqui,329,7.85,3,R,https://acordes.lacuerda.net/jesus_adrian_romero/algo_esta_cayendo_aqui
21,Danzar,Barak,barak,danzar,310,8.07,2,R,https://acordes.lacuerda.net/barak/danzar
22,Digno y Santo,Danilo Montero,danilo_montero,digno_y_santo,305,8.68,3,"R,T",https://acordes.lacuerda.net/danilo_montero/digno_y_santo
23,Abre los cielos,Jesus Adrian Romero,jesus_adrian_romero,abre_los_cielos,302,9.1,3,"R,T",https://acordes.lacuerda.net/jesus_adrian_romero/abre_los_cielos
24,Hosanna,Marco Barrientos,marco_barrientos,hosanna,285,8.54,1,R,https://acordes.lacuerda.net/marco_barrientos/hosanna
25,Tómalo,Hillsong United,hillsong_united,tomalo,279,8.5,1,R,https://acordes.lacuerda.net/hillsong_united/tomalo
26,Dios ha sido bueno,Marcos Witt,marcos_witt,dios_ha_sido_bueno,277,8.09,1,R,https://acordes.lacuerda.net/marcos_witt/dios_ha_sido_bueno
27,Espíritu Santo ven,Barak,barak,espiritu_santo_ven,272,8.42,2,R,https://acordes.lacuerda.net/barak/espiritu_santo_ven
28,Abre mis ojos,Danilo Montero,danilo_montero,abre_mis_ojos,269,7.99,3,R,https://acordes.lacuerda.net/danilo_montero/abre_mis_ojos
29,Dios de lo imposible,Marco Barrientos,marco_barrientos,dios_de_lo_imposible,268,7.88,1,R,https://acordes.lacuerda.net/marco_barrientos/dios_de_lo_imposible
30,Perfume a tus pies,Marcela Gandara,marcela_gandara,perfume_a_tus_pies,266,8.93,4,R,https://acordes.lacuerda.net/marcela_gandara/perfume_a_tus_pies
31,Océanos (donde mis pies pueden fallar),Hillsong United,hillsong_united,oceanos_donde_mis_pies_pueden_fallar,265,8.49,1,R,https://acordes.lacuerda.net/hillsong_united/oceanos_donde_mis_pies_pueden_fallar
32,Enciende Una Luz,Marcos Witt,marcos_witt,enciende_una_luz,262,8.65,1,R,https://acordes.lacuerda.net/marcos_witt/enciende_una_luz
33,Bendito Jesús,Danilo Montero,danilo_montero,bendito_jesus,255,8.73,6,"R,T",https://acordes.lacuerda.net/danilo_montero/bendito_jesus
34,Sentado en su trono,Danilo Montero,danilo_montero,sentado_en_su_trono,250,9.01,2,R,https://acordes.lacuerda.net/danilo_montero/sentado_en_su_trono
35,Somos el Pueblo,Marcos Witt,marcos_witt,somos_el_pueblo,249,8.47,1,R,https://acordes.lacuerda.net/marcos_witt/somos_el_pueblo
36,Dame De Beber,Marco Barrientos,marco_barrientos,dame_de_beber,248,8.24,1,R,https://acordes.lacuerda.net/marco_barrientos/dame_de_beber
37,Sueño de morir,Alex Campos,alex_campos,suenio_de_morir,247,9.34,6,"R,T,B",https://acordes.lacuerda.net/alex_campos/suenio_de_morir
